0.405 -6.18931e-08 2.85807e-06 -4.57406e-07 1.43671e-05 -0.394082 0.922299 -0.919577 -0.385377 -0.172094 5.35725 -0.424774 -0.0138334 34.7499 0.011988 -0.000329479 0.0296 
0.42 -6.90061e-08 3.07762e-06 -4.91592e-07 1.49064e-05 -0.407832 0.916415 -0.913617 -0.399043 -0.178466 5.35704 -0.424757 -0.0143553 34.7499 0.012432 -0.000341912 0.0296 
0.435 -7.66409e-08 3.30526e-06 -5.26976e-07 1.54454e-05 -0.421491 0.910327 -0.907455 -0.412616 -0.184837 5.35682 -0.424739 -0.0148771 34.7499 0.012876 -0.000354345 0.0296 
0.45 -8.48154e-08 3.54098e-06 -5.63554e-07 1.59842e-05 -0.435056 0.904037 -0.901092 -0.426092 -0.191208 5.35659 -0.424721 -0.0153989 34.7499 0.01332 -0.000366778 0.0296 
0.465 -9.35475e-08 3.78479e-06 -6.01322e-07 1.65226e-05 -0.448523 0.897545 -0.894531 -0.439469 -0.197579 5.35636 -0.424702 -0.0159206 34.7499 0.013764 -0.000379211 0.0296 
0.48 -1.02855e-07 4.03666e-06 -6.40273e-07 1.70607e-05 -0.461891 0.890853 -0.887773 -0.452745 -0.203949 5.35612 -0.424682 -0.0164424 34.7499 0.014208 -0.000391645 0.0296 
0.495 -1.12756e-07 4.29661e-06 -6.80404e-07 1.75985e-05 -0.475157 0.883962 -0.880818 -0.465916 -0.210319 5.35587 -0.424662 -0.0169641 34.7499 0.014652 -0.000404078 0.0296 
0.51 -1.23267e-07 4.56462e-06 -7.2171e-07 1.81359e-05 -0.488316 0.876875 -0.87367 -0.478979 -0.216689 5.35561 -0.424641 -0.0174858 34.7499 0.015096 -0.000416511 0.0296 
0.525 -1.34407e-07 4.84068e-06 -7.64185e-07 1.86729e-05 -0.501367 0.869593 -0.86633 -0.491931 -0.223059 5.35534 -0.42462 -0.0180075 34.7499 0.01554 -0.000428944 0.0296 
0.54 -1.46193e-07 5.1248e-06 -8.07825e-07 1.92096e-05 -0.514306 0.862117 -0.858799 -0.504771 -0.229428 5.35507 -0.424598 -0.0185291 34.7499 0.015984 -0.000441377 0.0296 
0.555 -1.58642e-07 5.41697e-06 -8.52623e-07 1.97459e-05 -0.527131 0.85445 -0.851079 -0.517494 -0.235796 5.35479 -0.424575 -0.0190507 34.7499 0.016428 -0.00045381 0.0296 
0.57 -1.71771e-07 5.71718e-06 -8.98575e-07 2.02819e-05 -0.539838 0.846592 -0.843172 -0.530099 -0.242165 5.3545 -0.424552 -0.0195723 34.7499 0.016872 -0.000466243 0.0296 
0.585 -1.85599e-07 6.02543e-06 -9.45674e-07 2.08174e-05 -0.552426 0.838547 -0.83508 -0.542582 -0.248533 5.3542 -0.424528 -0.0200939 34.7499 0.017316 -0.000478677 0.0295999 
0.6 -2.00142e-07 6.34171e-06 -9.93916e-07 2.13526e-05 -0.564891 0.830315 -0.826805 -0.554942 -0.254901 5.35389 -0.424503 -0.0206155 34.7499 0.01776 -0.00049111 0.0295999 
0.615 -2.15416e-07 6.66601e-06 -1.04329e-06 2.18873e-05 -0.57723 0.821899 -0.818349 -0.567174 -0.261268 5.35358 -0.424478 -0.021137 34.7498 0.018204 -0.000503543 0.0295999 
0.63 -2.3144e-07 6.99833e-06 -1.0938e-06 2.24217e-05 -0.589441 0.8133 -0.809713 -0.579277 -0.267635 5.35326 -0.424452 -0.0216585 34.7498 0.018648 -0.000515976 0.0295999 
0.645 -2.48231e-07 7.33866e-06 -1.14544e-06 2.29556e-05 -0.601521 0.80452 -0.800899 -0.591249 -0.274002 5.35293 -0.424426 -0.0221799 34.7498 0.019092 -0.000528409 0.0295999 
0.66 -2.65804e-07 7.68699e-06 -1.19819e-06 2.3489e-05 -0.613468 0.795562 -0.791911 -0.603086 -0.280368 5.35259 -0.424399 -0.0227014 34.7498 0.019536 -0.000540842 0.0295999 
0.675 -2.84176e-07 8.04333e-06 -1.25205e-06 2.40221e-05 -0.625279 0.786428 -0.782749 -0.614785 -0.286734 5.35225 -0.424371 -0.0232228 34.7498 0.01998 -0.000553276 0.0295999 
0.69 -3.03365e-07 8.40766e-06 -1.30702e-06 2.45547e-05 -0.636951 0.777119 -0.773416 -0.626346 -0.293099 5.3519 -0.424343 -0.0237441 34.7498 0.020424 -0.000565709 0.0295999 
0.705 -3.23387e-07 8.77997e-06 -1.36309e-06 2.50868e-05 -0.648481 0.767637 -0.763913 -0.637764 -0.299464 5.35154 -0.424314 -0.0242654 34.7498 0.020868 -0.000578142 0.0295999 
0.72 -3.44258e-07 9.16026e-06 -1.42026e-06 2.56185e-05 -0.659868 0.757986 -0.754244 -0.649038 -0.305828 5.35117 -0.424285 -0.0247867 34.7498 0.021312 -0.000590575 0.0295999 
0.735 -3.65995e-07 9.54852e-06 -1.47851e-06 2.61496e-05 -0.671109 0.748166 -0.74441 -0.660166 -0.312192 5.35079 -0.424255 -0.025308 34.7498 0.021756 -0.000603008 0.0295999 
0.75 -3.88613e-07 9.94475e-06 -1.53783e-06 2.66804e-05 -0.6822 0.738181 -0.734414 -0.671144 -0.318556 5.35041 -0.424224 -0.0258292 34.7498 0.0222 -0.000615441 0.0295999 
0.765 -4.1213e-07 1.03489e-05 -1.59824e-06 2.72106e-05 -0.693141 0.728032 -0.724257 -0.681971 -0.324919 5.35002 -0.424193 -0.0263504 34.7498 0.022644 -0.000627874 0.0295999 
0.78 -4.3656e-07 1.07611e-05 -1.6597e-06 2.77403e-05 -0.703928 0.717722 -0.713943 -0.692644 -0.331282 5.34962 -0.424161 -0.0268716 34.7498 0.023088 -0.000640308 0.0295999 
0.795 -4.61921e-07 1.11811e-05 -1.72223e-06 2.82695e-05 -0.714559 0.707253 -0.703473 -0.703161 -0.337644 5.34921 -0.424128 -0.0273927 34.7497 0.023532 -0.000652741 0.0295999 
0.81 -4.88227e-07 1.16092e-05 -1.78581e-06 2.87982e-05 -0.725032 0.696627 -0.692849 -0.71352 -0.344006 5.3488 -0.424095 -0.0279138 34.7497 0.023976 -0.000665174 0.0295999 
0.825 -5.15495e-07 1.20451e-05 -1.85043e-06 2.93264e-05 -0.735345 0.685847 -0.682075 -0.723719 -0.350367 5.34837 -0.424061 -0.0284349 34.7497 0.02442 -0.000677607 0.0295999 
0.84 -5.4374e-07 1.24889e-05 -1.91609e-06 2.98541e-05 -0.745494 0.674915 -0.671152 -0.733755 -0.356728 5.34794 -0.424027 -0.0289559 34.7497 0.024864 -0.00069004 0.0295998 
0.855 -5.72978e-07 1.29407e-05 -1.98278e-06 3.03813e-05 -0.755479 0.663834 -0.660084 -0.743626 -0.363088 5.34751 -0.423992 -0.0294768 34.7497 0.025308 -0.000702474 0.0295998 
0.87 -6.03223e-07 1.34004e-05 -2.05049e-06 3.09079e-05 -0.765297 0.652607 -0.648871 -0.753331 -0.369447 5.34706 -0.423956 -0.0299978 34.7497 0.025752 -0.000714907 0.0295998 
0.885 -6.34493e-07 1.38679e-05 -2.11922e-06 3.14339e-05 -0.774945 0.641234 -0.637518 -0.762867 -0.375806 5.34661 -0.42392 -0.0305187 34.7497 0.026196 -0.00072734 0.0295998 
0.9 -6.668e-07 1.43434e-05 -2.18895e-06 3.19594e-05 -0.784422 0.62972 -0.626026 -0.772233 -0.382165 5.34614 -0.423883 -0.0310395 34.7497 0.02664 -0.000739773 0.0295998 
0.915 -7.00161e-07 1.48267e-05 -2.25969e-06 3.24844e-05 -0.793726 0.618067 -0.614399 -0.781425 -0.388523 5.34567 -0.423845 -0.0315603 34.7497 0.027084 -0.000752206 0.0295998 
