0.54 0 1.84831e-10 -0.000181161 01 1.48849e-06 -2.98908e-06 02 8.62492e-05 -0.000178173 03 4.38176e-18 -2.88041e-16 0
0.555 0 1.95315e-10 -0.000181161 01 1.4882e-06 -2.98879e-06 02 8.62493e-05 -0.000178173 03 4.38182e-18 -2.88041e-16 0
0.57 0 2.06081e-10 -0.000181161 01 1.48792e-06 -2.98851e-06 02 8.62495e-05 -0.000178174 03 4.38187e-18 -2.88041e-16 0
0.585 0 2.1713e-10 -0.000181161 01 1.48763e-06 -2.98822e-06 02 8.62497e-05 -0.000178174 03 4.38193e-18 -2.88041e-16 0
0.6 0 2.28461e-10 -0.000181161 01 1.48735e-06 -2.98794e-06 02 8.62499e-05 -0.000178174 03 4.38199e-18 -2.88042e-16 0
0.615 0 2.40072e-10 -0.000181161 01 1.48707e-06 -2.98766e-06 02 8.62501e-05 -0.000178174 03 4.38205e-18 -2.88042e-16 0
0.63 0 2.51964e-10 -0.00018116 01 1.4868e-06 -2.98739e-06 02 8.62503e-05 -0.000178174 03 4.38211e-18 -2.88042e-16 0
0.645 0 2.64135e-10 -0.00018116 01 1.48652e-06 -2.98712e-06 02 8.62505e-05 -0.000178175 03 4.38217e-18 -2.88042e-16 0
0.66 0 2.76586e-10 -0.00018116 01 1.48625e-06 -2.98685e-06 02 8.62508e-05 -0.000178175 03 4.38224e-18 -2.88042e-16 0
0.675 0 2.89314e-10 -0.00018116 01 1.48599e-06 -2.98658e-06 02 8.6251e-05 -0.000178175 03 4.38231e-18 -2.88042e-16 0
0.69 0 3.0232e-10 -0.00018116 01 1.48572e-06 -2.98632e-06 02 8.62513e-05 -0.000178175 03 4.38237e-18 -2.88042e-16 0
0.705 0 3.15603e-10 -0.00018116 01 1.48546e-06 -2.98606e-06 02 8.62515e-05 -0.000178176 03 4.38244e-18 -2.88042e-16 0
0.72 0 3.29161e-10 -0.00018116 01 1.4852e-06 -2.9858e-06 02 8.62518e-05 -0.000178176 03 4.38251e-18 -2.88042e-16 0
0.735 0 3.42995e-10 -0.00018116 01 1.48495e-06 -2.98555e-06 02 8.62521e-05 -0.000178176 03 4.38259e-18 -2.88042e-16 0
0.75 0 3.57103e-10 -0.000181161 01 1.4847e-06 -2.9853e-06 02 8.62523e-05 -0.000178176 03 4.38266e-18 -2.88042e-16 0
0.765 0 3.71485e-10 -0.000181161 01 1.48445e-06 -2.98505e-06 02 8.62526e-05 -0.000178177 03 4.38274e-18 -2.88042e-16 0
0.78 0 3.8614e-10 -0.000181161 01 1.4842e-06 -2.98481e-06 02 8.62529e-05 -0.000178177 03 4.38281e-18 -2.88042e-16 0
0.795 0 4.01066e-10 -0.000181161 01 1.48396e-06 -2.98457e-06 02 8.62532e-05 -0.000178177 03 4.38289e-18 -2.88042e-16 0
0.81 0 4.16264e-10 -0.000181161 01 1.48373e-06 -2.98433e-06 02 8.62535e-05 -0.000178178 03 4.38297e-18 -2.88042e-16 0
0.825 0 4.31732e-10 -0.000181161 01 1.48349e-06 -2.9841e-06 02 8.62539e-05 -0.000178178 03 4.38305e-18 -2.88042e-16 0
0.84 0 4.4747e-10 -0.000181161 01 1.48326e-06 -2.98387e-06 02 8.62542e-05 -0.000178178 03 4.38314e-18 -2.88042e-16 0
0.855 0 4.63476e-10 -0.000181161 01 1.48304e-06 -2.98364e-06 02 8.62545e-05 -0.000178179 03 4.38322e-18 -2.88042e-16 0
0.87 0 4.7975e-10 -0.000181161 01 1.48281e-06 -2.98342e-06 02 8.62549e-05 -0.000178179 03 4.38331e-18 -2.88042e-16 0
0.885 0 4.96291e-10 -0.000181161 01 1.48259e-06 -2.9832e-06 02 8.62552e-05 -0.000178179 03 4.38339e-18 -2.88042e-16 0
0.9 0 5.13098e-10 -0.000181162 01 1.48238e-06 -2.98299e-06 02 8.62556e-05 -0.00017818 03 4.38348e-18 -2.88042e-16 0
