         # i           j           u
           6           5    -145.123
           6           6    -162.429
           6           7    -178.236
           6           8    -192.668
           6           9    -205.834
           6          10    -217.829
           6          11    -228.733
           6          12    -238.617
           6          13    -247.543
           6          14    -255.563
           6          15    -262.724
           6          16    -269.066
           6          17    -274.624
           6          18    -279.426
           6          19    -283.498
           6          20    -286.861
           6          21    -289.532
           6          22    -291.523
           6          23    -292.846
           6          24    -293.505
           6          25    -293.505
           6          26    -292.846
           6          27    -291.523
           6          28    -289.532
           6          29    -286.861
           6          30    -283.498
           6          31    -279.426
           6          32    -274.624
           6          33    -269.066
           6          34    -262.724
           6          35    -255.563
           6          36    -247.543
           6          37    -238.617
           6          38    -228.733
           6          39    -217.829
           6          40    -205.834
           6          41    -192.668
           6          42    -178.236
           6          43    -162.429
           6          44    -145.123
           6          45    -126.171
           6          46    -105.406
           6          47    -82.6358
           6          48    -57.6428
           6          49    -30.1848
           7           0    -32.6639
           7           1    -62.5671
           7           2    -89.9415
           7           3    -115.005
           7           4    -137.958
           7           5    -158.981
           7           6    -178.236
           7           7    -195.865
           7           8    -211.994
           7           9    -226.733
           7          10     -240.18
           7          11    -252.418
           7          12    -263.523
           7          13    -273.559
           7          14    -282.583
           7          15    -290.646
           7          16    -297.789
           7          17    -304.052
           7          18    -309.465
           7          19    -314.057
           7          20    -317.849
           7          21    -320.862
           7          22    -323.108
           7          23      -324.6
           7          24    -325.344
           7          25    -325.344
           7          26      -324.6
           7          27    -323.108
           7          28    -320.862
           7          29    -317.849
           7          30    -314.057
           7          31    -309.465
           7          32    -304.052
           7          33    -297.789
           7          34    -290.646
           7          35    -282.583
           7          36    -273.559
           7          37    -263.523
           7          38    -252.418
           7          39     -240.18
           7          40    -226.733
           7          41    -211.994
           7          42    -195.865
           7          43    -178.236
           7          44    -158.981
           7          45    -137.958
           7          46    -115.005
           7          47    -89.9415
           7          48    -62.5671
           7          49    -32.6639
           8           0    -34.9036
           8           1    -67.0204
           8           2    -96.5581
           8           3    -123.715
           8           4    -148.674
           8           5    -171.608
           8           6    -192.668
           8           7    -211.994
           8           8     -229.71
           8           9    -245.925
           8          10    -260.739
           8          11    -274.237
           8          12    -286.498
           8          13    -297.587
           8          14    -307.566
           8          15    -316.486
           8          16    -324.394
           8          17    -331.329
           8          18    -337.326
           8          19    -342.414
           8          20    -346.618
           8          21    -349.957
           8          22    -352.448
           8          23    -354.103
           8          24    -354.928
           8          25    -354.928
           8          26    -354.103
           8          27    -352.448
           8          28    -349.957
           8          29    -346.618
           8          30    -342.414
           8          31    -337.326
           8          32    -331.329
           8          33    -324.394
           8          34    -316.486
           8          35    -307.566
           8          36    -297.587
           8          37    -286.498
           8          38    -274.237
           8          39    -260.739
           8          40    -245.925
           8          41     -229.71
           8          42    -211.994
           8          43    -192.668
           8          44    -171.608
           8          45    -148.674
           8          46    -123.715
           8          47    -96.5581
           8          48    -67.0204
           8          49    -34.9036
           9           0    -36.9302
           9           1    -71.0527
           9           2    -102.556
           9           3    -131.621
           9           4    -158.418
           9           5    -183.107
           9           6    -205.834
           9           7    -226.733
           9           8    -245.925
           9           9    -263.519
           9          10    -279.613
           9          11    -294.295
           9          12    -307.643
           9          13    -319.726
           9          14    -330.606
           9          15    -340.338
           9          16     -348.97
           9          17    -356.544
           9          18    -363.095
           9          19    -368.656
           9          20    -373.251
           9          21    -376.902
           9          22    -379.625
           9          23    -381.434
           9          24    -382.337
           9          25    -382.337
           9          26    -381.434
           9          27    -379.625
           9          28    -376.902
           9          29    -373.251
           9          30    -368.656
           9          31    -363.095
           9          32    -356.544
           9          33     -348.97
           9          34    -340.338
           9          35    -330.606
           9          36    -319.726
           9          37    -307.643
           9          38    -294.295
           9          39    -279.613
           9          40    -263.519
           9          41    -245.925
           9          42    -226.733
           9          43    -205.834
           9          44    -183.107
           9          45    -158.418
           9          46    -131.621
           9          47    -102.556
           9          48    -71.0527
           9          49    -36.9302
          10           0    -38.7645
          10           1    -74.7044
          10           2    -107.992
          10           3    -138.794
          10           4     -167.27
          10           5    -193.568
          10           6    -217.829
          10           7     -240.18
          10           8    -260.739
          10           9    -279.613
          10          10      -296.9
          10          11    -312.687
          10          12    -327.052
          10          13    -340.067
          10          14    -351.795
          10          15    -362.291
          10          16    -371.606
          10          17    -379.781
          10          18    -386.856
          10          19    -392.863
          10          20    -397.827
          10          21    -401.773
          10          22    -404.717
          10          23    -406.672
          10          24    -407.648
          10          25    -407.648
          10          26    -406.672
          10          27    -404.717
          10          28    -401.773
          10          29    -397.827
          10          30    -392.863
          10          31    -386.856
          10          32    -379.781
          10          33    -371.606
          10          34    -362.291
          10          35    -351.795
          10          36    -340.067
          10          37    -327.052
          10          38    -312.687
          10          39      -296.9
          10          40    -279.613
          10          41    -260.739
          10          42     -240.18
          10          43    -217.829
          10          44    -193.568
          10          45     -167.27
          10          46    -138.794
          10          47    -107.992
          10          48    -74.7044
          10          49    -38.7645
          11           0    -40.4234
          11           1    -78.0082
          11           2    -112.914
          11           3    -145.294
          11           4    -175.299
          11           5    -203.067
          11           6    -228.733
          11           7    -252.418
          11           8    -274.237
          11           9    -294.295
          11          10    -312.687
          11          11      -329.5
          11          12    -344.812
          11          13    -358.696
          11          14    -371.215
          11          15    -382.426
          11          16    -392.379
          11          17     -401.12
          11          18    -408.686
          11          19    -415.111
          11          20    -420.423
          11          21    -424.646
          11          22    -427.797
          11          23     -429.89
          11          24    -430.934
          11          25    -430.934
          11          26     -429.89
          11          27    -427.797
          11          28    -424.646
          11          29    -420.423
          11          30    -415.111
          11          31    -408.686
          11          32     -401.12
          11          33    -392.379
          11          34    -382.426
          11          35    -371.215
          11          36    -358.696
          11          37    -344.812
          11          38      -329.5
          11          39    -312.687
          11          40    -294.295
          11          41    -274.237
          11          42    -252.418
          11          43    -228.733
          11          44    -203.067
          11          45    -175.299
          11          46    -145.294
          11          47    -112.914
          11          48    -78.0082
          11          49    -40.4234
          12           0    -41.9209
          12           1    -80.9916
          12           2     -117.36
          12           3    -151.171
          12           4    -182.563
          12           5     -211.67
          12           6    -238.617
          12           7    -263.523
          12           8    -286.498
          12           9    -307.643
          12          10    -327.052
          12          11    -344.812
          12          12    -361.001
          12          13     -375.69
          12          14    -388.943
          12          15    -400.818
          12          16    -411.366
          12          17    -420.632
          12          18    -428.656
          12          19    -435.472
          12          20    -441.109
          12          21     -445.59
          12          22    -448.935
          12          23    -451.157
          12          24    -452.266
          12          25    -452.266
          12          26    -451.157
          12          27    -448.935
          12          28     -445.59
          12          29    -441.109
          12          30    -435.472
          12          31    -428.656
          12          32    -420.632
          12          33    -411.366
          12          34    -400.818
          12          35    -388.943
          12          36     -375.69
          12          37    -361.001
          12          38    -344.812
          12          39    -327.052
          12          40    -307.643
          12          41    -286.498
          12          42    -263.523
          12          43    -238.617
          12          44     -211.67
          12          45    -182.563
          12          46    -151.171
          12          47     -117.36
          12          48    -80.9916
          12          49    -41.9209
          13           0    -43.2685
          13           1     -83.677
          13           2    -121.364
          13           3    -156.466
          13           4    -189.113
          13           5    -219.432
          13           6    -247.543
          13           7    -273.559
          13           8    -297.587
          13           9    -319.726
          13          10    -340.067
          13          11    -358.696
          13          12     -375.69
          13          13     -391.12
          13          14     -405.05
          13          15    -417.537
          13          16    -428.634
          13          17    -438.387
          13          18    -446.835
          13          19    -454.013
          13          20     -459.95
          13          21    -464.671
          13          22    -468.195
          13          23    -470.537
          13          24    -471.705
          13          25    -471.705
          13          26    -470.537
          13          27    -468.195
          13          28    -464.671
          13          29     -459.95
          13          30    -454.013
          13          31    -446.835
          13          32    -438.387
          13          33    -428.634
          13          34    -417.537
          13          35     -405.05
          13          36     -391.12
          13          37     -375.69
          13          38    -358.696
          13          39    -340.067
          13          40    -319.726
          13          41    -297.587
          13          42    -273.559
          13          43    -247.543
          13          44    -219.432
          13          45    -189.113
          13          46    -156.466
          13          47    -121.364
          13          48     -83.677
          13          49    -43.2685
          14           0     -44.476
          14           1    -86.0839
          14           2    -124.954
          14           3    -161.215
          14           4    -194.991
          14           5    -226.402
          14           6    -255.563
          14           7    -282.583
          14           8    -307.566
          14           9    -330.606
          14          10    -351.795
          14          11    -371.215
          14          12    -388.943
          14          13     -405.05
          14          14    -419.598
          14          15    -432.647
          14          16    -444.248
          14          17    -454.446
          14          18    -463.283
          14          19    -470.794
          14          20    -477.007
          14          21    -481.949
          14          22    -485.639
          14          23     -488.09
          14          24    -489.313
          14          25    -489.313
          14          26     -488.09
          14          27    -485.639
          14          28    -481.949
          14          29    -477.007
          14          30    -470.794
          14          31    -463.283
          14          32    -454.446
          14          33    -444.248
          14          34    -432.647
          14          35    -419.598
          14          36     -405.05
          14          37    -388.943
          14          38    -371.215
          14          39    -351.795
          14          40    -330.606
          14          41    -307.566
          14          42    -282.583
          14          43    -255.563
          14          44    -226.402
          14          45    -194.991
          14          46    -161.215
          14          47    -124.954
          14          48    -86.0839
          14          49     -44.476
          15           0    -45.5517
          15           1    -88.2283
          15           2    -128.154
          15           3    -165.449
          15           4    -200.234
          15           5    -232.622
          15           6    -262.724
          15           7    -290.646
          15           8    -316.486
          15           9    -340.338
          15          10    -362.291
          15          11    -382.426
          15          12    -400.818
          15          13    -417.537
          15          14    -432.647
          15          15    -446.205
          15          16    -458.263
          15          17    -468.867
          15          18    -478.058
          15          19    -485.871
          15          20    -492.337
          15          21     -497.48
          15          22     -501.32
          15          23    -503.871
          15          24    -505.145
          15          25    -505.145
          15          26    -503.871
          15          27     -501.32
          15          28     -497.48
          15          29    -492.337
          15          30    -485.871
          15          31    -478.058
          15          32    -468.867
          15          33    -458.263
          15          34    -446.205
          15          35    -432.647
          15          36    -417.537
          15          37    -400.818
          15          38    -382.426
          15          39    -362.291
          15          40    -340.338
          15          41    -316.486
          15          42    -290.646
          15          43    -262.724
          15          44    -232.622
          15          45    -200.234
          15          46    -165.449
          15          47    -128.154
          15          48    -88.2283
          15          49    -45.5517
          16           0    -46.5026
          16           1    -90.1241
          16           2    -130.983
          16           3    -169.194
          16           4    -204.873
          16           5    -238.128
          16           6    -269.066
          16           7    -297.789
          16           8    -324.394
          16           9     -348.97
          16          10    -371.606
          16          11    -392.379
          16          12    -411.366
          16          13    -428.634
          16          14    -444.248
          16          15    -458.263
          16          16    -470.732
          16          17    -481.701
          16          18     -491.21
          16          19    -499.296
          16          20    -505.989
          16          21    -511.313
          16          22    -515.289
          16          23    -517.931
          16          24     -519.25
          16          25     -519.25
          16          26    -517.931
          16          27    -515.289
          16          28    -511.313
          16          29    -505.989
          16          30    -499.296
          16          31     -491.21
          16          32    -481.701
          16          33    -470.732
          16          34    -458.263
          16          35    -444.248
          16          36    -428.634
          16          37    -411.366
          16          38    -392.379
          16          39    -371.606
          16          40     -348.97
          16          41    -324.394
          16          42    -297.789
          16          43    -269.066
          16          44    -238.128
          16          45    -204.873
          16          46    -169.194
          16          47    -130.983
          16          48    -90.1241
          16          49    -46.5026
          17           0    -47.3345
          17           1     -91.783
          17           2    -133.459
          17           3    -172.473
          17           4    -208.935
          17           5    -242.951
          17           6    -274.624
          17           7    -304.052
          17           8    -331.329
          17           9    -356.544
          17          10    -379.781
          17          11     -401.12
          17          12    -420.632
          17          13    -438.387
          17          14    -454.446
          17          15    -468.867
