         # i           j           u
          27          24    -569.804
          27          25    -569.804
          27          26    -568.319
          27          27    -565.344
          27          28    -560.869
          27          29    -554.879
          27          30    -547.354
          27          31    -538.268
          27          32    -527.592
          27          33    -515.289
          27          34     -501.32
          27          35    -485.639
          27          36    -468.195
          27          37    -448.935
          27          38    -427.797
          27          39    -404.717
          27          40    -379.625
          27          41    -352.448
          27          42    -323.108
          27          43    -291.523
          27          44    -257.607
          27          45    -221.272
          27          46    -182.424
          27          47    -140.971
          27          48    -96.8146
          27          49    -49.8574
          28           0    -49.5606
          28           1    -96.2226
          28           2    -140.087
          28           3    -181.253
          28           4    -219.819
          28           5    -255.881
          28           6    -289.532
          28           7    -320.862
          28           8    -349.957
          28           9    -376.902
          28          10    -401.773
          28          11    -424.646
          28          12     -445.59
          28          13    -464.671
          28          14    -481.949
          28          15     -497.48
          28          16    -511.313
          28          17    -523.495
          28          18    -534.066
          28          19    -543.061
          28          20     -550.51
          28          21     -556.44
          28          22    -560.869
          28          23    -563.814
          28          24    -565.283
          28          25    -565.283
          28          26    -563.814
          28          27    -560.869
          28          28     -556.44
          28          29     -550.51
          28          30    -543.061
          28          31    -534.066
          28          32    -523.495
          28          33    -511.313
          28          34     -497.48
          28          35    -481.949
          28          36    -464.671
          28          37     -445.59
          28          38    -424.646
          28          39    -401.773
          28          40    -376.902
          28          41    -349.957
          28          42    -320.862
          28          43    -289.532
          28          44    -255.881
          28          45    -219.819
          28          46    -181.253
          28          47    -140.087
          28          48    -96.2226
          28          49    -49.5606
          29           0    -49.1624
          29           1    -95.4283
          29           2    -138.901
          29           3    -179.682
          29           4    -217.871
          29           5    -253.566
          29           6    -286.861
          29           7    -317.849
          29           8    -346.618
          29           9    -373.251
          29          10    -397.827
          29          11    -420.423
          29          12    -441.109
          29          13     -459.95
          29          14    -477.007
          29          15    -492.337
          29          16    -505.989
          29          17     -518.01
          29          18    -528.439
          29          19    -537.313
          29          20    -544.662
          29          21     -550.51
          29          22    -554.879
          29          23    -557.783
          29          24    -559.233
          29          25    -559.233
          29          26    -557.783
          29          27    -554.879
          29          28     -550.51
          29          29    -544.662
          29          30    -537.313
          29          31    -528.439
          29          32     -518.01
          29          33    -505.989
          29          34    -492.337
          29          35    -477.007
          29          36     -459.95
          29          37    -441.109
          29          38    -420.423
          29          39    -397.827
          29          40    -373.251
          29          41    -346.618
          29          42    -317.849
          29          43    -286.861
          29          44    -253.566
          29          45    -217.871
          29          46    -179.682
          29          47    -138.901
          29          48    -95.4283
          29          49    -49.1624
          30           0    -48.6606
          30           1    -94.4275
          30           2    -137.406
          30           3    -177.702
          30           4    -215.416
          30           5    -250.649
          30           6    -283.498
          30           7    -314.057
          30           8    -342.414
          30           9    -368.656
          30          10    -392.863
          30          11    -415.111
          30          12    -435.472
          30          13    -454.013
          30          14    -470.794
          30          15    -485.871
          30          16    -499.296
          30          17    -511.115
          30          18    -521.368
          30          19    -530.091
          30          20    -537.313
          30          21    -543.061
          30          22    -547.354
          30          23    -550.208
          30          24    -551.632
          30          25    -551.632
          30          26    -550.208
          30          27    -547.354
          30          28    -543.061
          30          29    -537.313
          30          30    -530.091
          30          31    -521.368
          30          32    -511.115
          30          33    -499.296
          30          34    -485.871
          30          35    -470.794
          30          36    -454.013
          30          37    -435.472
          30          38    -415.111
          30          39    -392.863
          30          40    -368.656
          30          41    -342.414
          30          42    -314.057
          30          43    -283.498
          30          44    -250.649
          30          45    -215.416
          30          46    -177.702
          30          47    -137.406
          30          48    -94.4275
          30          49    -48.6606
          31           0    -48.0524
          31           1    -93.2147
          31           2    -135.596
          31           3    -175.303
          31           4    -212.443
          31           5    -247.117
          31           6    -279.426
          31           7    -309.465
          31           8    -337.326
          31           9    -363.095
          31          10    -386.856
          31          11    -408.686
          31          12    -428.656
          31          13    -446.835
          31          14    -463.283
          31          15    -478.058
          31          16     -491.21
          31          17    -502.787
          31          18    -512.827
          31          19    -521.368
          31          20    -528.439
          31          21    -534.066
          31          22    -538.268
          31          23    -541.062
          31          24    -542.456
          31          25    -542.456
          31          26    -541.062
          31          27    -538.268
          31          28    -534.066
          31          29    -528.439
          31          30    -521.368
          31          31    -512.827
          31          32    -502.787
          31          33     -491.21
          31          34    -478.058
          31          35    -463.283
          31          36    -446.835
          31          37    -428.656
          31          38    -408.686
          31          39    -386.856
          31          40    -363.095
          31          41    -337.326
          31          42    -309.465
          31          43    -279.426
          31          44    -247.117
          31          45    -212.443
          31          46    -175.303
          31          47    -135.596
          31          48    -93.2147
          31          49    -48.0524
          32           0    -47.3345
          32           1     -91.783
          32           2    -133.459
          32           3    -172.473
          32           4    -208.935
          32           5    -242.951
          32           6    -274.624
          32           7    -304.052
          32           8    -331.329
          32           9    -356.544
          32          10    -379.781
          32          11     -401.12
          32          12    -420.632
          32          13    -438.387
          32          14    -454.446
          32          15    -468.867
          32          16    -481.701
          32          17    -492.994
          32          18    -502.787
          32          19    -511.115
          32          20     -518.01
          32          21    -523.495
          32          22    -527.592
          32          23    -530.314
          32          24    -531.673
          32          25    -531.673
          32          26    -530.314
          32          27    -527.592
          32          28    -523.495
          32          29     -518.01
          32          30    -511.115
          32          31    -502.787
          32          32    -492.994
          32          33    -481.701
          32          34    -468.867
          32          35    -454.446
          32          36    -438.387
          32          37    -420.632
          32          38     -401.12
          32          39    -379.781
          32          40    -356.544
          32          41    -331.329
          32          42    -304.052
          32          43    -274.624
          32          44    -242.951
          32          45    -208.935
          32          46    -172.473
          32          47    -133.459
          32          48     -91.783
          32          49    -47.3345
          33           0    -46.5026
          33           1    -90.1241
          33           2    -130.983
          33           3    -169.194
          33           4    -204.873
          33           5    -238.128
          33           6    -269.066
          33           7    -297.789
          33           8    -324.394
          33           9     -348.97
          33          10    -371.606
          33          11    -392.379
          33          12    -411.366
          33          13    -428.634
          33          14    -444.248
          33          15    -458.263
          33          16    -470.732
          33          17    -481.701
          33          18     -491.21
          33          19    -499.296
          33          20    -505.989
          33          21    -511.313
          33          22    -515.289
          33          23    -517.931
          33          24     -519.25
          33          25     -519.25
          33          26    -517.931
          33          27    -515.289
          33          28    -511.313
          33          29    -505.989
          33          30    -499.296
          33          31     -491.21
          33          32    -481.701
          33          33    -470.732
          33          34    -458.263
          33          35    -444.248
          33          36    -428.634
          33          37    -411.366
          33          38    -392.379
          33          39    -371.606
          33          40     -348.97
          33          41    -324.394
          33          42    -297.789
          33          43    -269.066
          33          44    -238.128
          33          45    -204.873
          33          46    -169.194
          33          47    -130.983
          33          48    -90.1241
          33          49    -46.5026
          34           0    -45.5517
          34           1    -88.2283
          34           2    -128.154
          34           3    -165.449
          34           4    -200.234
          34           5    -232.622
          34           6    -262.724
          34           7    -290.646
          34           8    -316.486
          34           9    -340.338
          34          10    -362.291
          34          11    -382.426
          34          12    -400.818
          34          13    -417.537
          34          14    -432.647
          34          15    -446.205
          34          16    -458.263
          34          17    -468.867
          34          18    -478.058
          34          19    -485.871
          34          20    -492.337
          34          21     -497.48
          34          22     -501.32
          34          23    -503.871
          34          24    -505.145
          34          25    -505.145
          34          26    -503.871
          34          27     -501.32
          34          28     -497.48
          34          29    -492.337
          34          30    -485.871
          34          31    -478.058
          34          32    -468.867
          34          33    -458.263
          34          34    -446.205
          34          35    -432.647
          34          36    -417.537
          34          37    -400.818
          34          38    -382.426
          34          39    -362.291
          34          40    -340.338
          34          41    -316.486
          34          42    -290.646
          34          43    -262.724
          34          44    -232.622
          34          45    -200.234
          34          46    -165.449
          34          47    -128.154
          34          48    -88.2283
          34          49    -45.5517
          35           0     -44.476
          35           1    -86.0839
          35           2    -124.954
          35           3    -161.215
          35           4    -194.991
          35           5    -226.402
          35           6    -255.563
          35           7    -282.583
          35           8    -307.566
          35           9    -330.606
          35          10    -351.795
          35          11    -371.215
          35          12    -388.943
          35          13     -405.05
          35          14    -419.598
          35          15    -432.647
          35          16    -444.248
          35          17    -454.446
          35          18    -463.283
          35          19    -470.794
          35          20    -477.007
          35          21    -481.949
          35          22    -485.639
          35          23     -488.09
          35          24    -489.313
          35          25    -489.313
          35          26     -488.09
          35          27    -485.639
          35          28    -481.949
          35          29    -477.007
          35          30    -470.794
          35          31    -463.283
          35          32    -454.446
          35          33    -444.248
          35          34    -432.647
          35          35    -419.598
          35          36     -405.05
          35          37    -388.943
          35          38    -371.215
          35          39    -351.795
          35          40    -330.606
          35          41    -307.566
          35          42    -282.583
          35          43    -255.563
          35          44    -226.402
          35          45    -194.991
          35          46    -161.215
          35          47    -124.954
          35          48    -86.0839
          35          49     -44.476
          36           0    -43.2685
          36           1     -83.677
          36           2    -121.364
          36           3    -156.466
          36           4    -189.113
          36           5    -219.432
          36           6    -247.543
          36           7    -273.559
          36           8    -297.587
          36           9    -319.726
          36          10    -340.067
          36          11    -358.696
          36          12     -375.69
          36          13     -391.12
          36          14     -405.05
          36          15    -417.537
          36          16    -428.634
          36          17    -438.387
          36          18    -446.835
          36          19    -454.013
          36          20     -459.95
          36          21    -464.671
          36          22    -468.195
          36          23    -470.537
          36          24    -471.705
          36          25    -471.705
          36          26    -470.537
          36          27    -468.195
          36          28    -464.671
          36          29     -459.95
          36          30    -454.013
          36          31    -446.835
          36          32    -438.387
          36          33    -428.634
          36          34    -417.537
          36          35     -405.05
          36          36     -391.12
          36          37     -375.69
          36          38    -358.696
          36          39    -340.067
          36          40    -319.726
          36          41    -297.587
          36          42    -273.559
          36          43    -247.543
          36          44    -219.432
          36          45    -189.113
          36          46    -156.466
          36          47    -121.364
          36          48     -83.677
          36          49    -43.2685
          37           0    -41.9209
          37           1    -80.9916
          37           2     -117.36
          37           3    -151.171
          37           4    -182.563
          37           5     -211.67
          37           6    -238.617
          37           7    -263.523
          37           8    -286.498
          37           9    -307.643
          37          10    -327.052
          37          11    -344.812
          37          12    -361.001
          37          13     -375.69
          37          14    -388.943
          37          15    -400.818
          37          16    -411.366
          37          17    -420.632
          37          18    -428.656
          37          19    -435.472
          37          20    -441.109
          37          21     -445.59
          37          22    -448.935
          37          23    -451.157
          37          24    -452.266
          37          25    -452.266
          37          26    -451.157
          37          27    -448.935
          37          28     -445.59
          37          29    -441.109
          37          30    -435.472
          37          31    -428.656
          37          32    -420.632
          37          33    -411.366
          37          34    -400.818
          37          35    -388.943
          37          36     -375.69
          37          37    -361.001
          37          38    -344.812
          37          39    -327.052
          37          40    -307.643
          37          41    -286.498
          37          42    -263.523
          37          43    -238.617
          37          44     -211.67
          37          45    -182.563
          37          46    -151.171
          37          47     -117.36
          37          48    -80.9916
          37          49    -41.9209
          38           0    -40.4234
          38           1    -78.0082
          38           2    -112.914
          38           3    -145.294
          38           4    -175.299
          38           5    -203.067
          38           6    -228.733
          38           7    -252.418
          38           8    -274.237
          38           9    -294.295
          38          10    -312.687
          38          11      -329.5
          38          12    -344.812
          38          13    -358.696
          38          14    -371.215
          38          15    -382.426
          38          16    -392.379
          38          17     -401.12
          38          18    -408.686
          38          19    -415.111
          38          20    -420.423
          38          21    -424.646
          38          22    -427.797
          38          23     -429.89
          38          24    -430.934
          38          25    -430.934
          38          26     -429.89
          38          27    -427.797
          38          28    -424.646
          38          29    -420.423
          38          30    -415.111
          38          31    -408.686
          38          32     -401.12
          38          33    -392.379
          38          34    -382.426
          38          35    -371.215
          38          36    -358.696
          38          37    -344.812
          38          38      -329.5
          38          39    -312.687
          38          40    -294.295
          38          41    -274.237
          38          42    -252.418
          38          43    -228.733
          38          44    -203.067
          38          45    -175.299
          38          46    -145.294
          38          47    -112.914
          38          48    -78.0082
          38          49    -40.4234
          39           0    -38.7645
          39           1    -74.7044
          39           2    -107.992
          39           3    -138.794
          39           4     -167.27
          39           5    -193.568
          39           6    -217.829
          39           7     -240.18
          39           8    -260.739
          39           9    -279.613
          39          10      -296.9
          39          11    -312.687
          39          12    -327.052
          39          13    -340.067
          39          14    -351.795
          39          15    -362.291
          39          16    -371.606
          39          17    -379.781
          39          18    -386.856
          39          19    -392.863
          39          20    -397.827
          39          21    -401.773
          39          22    -404.717
          39          23    -406.672
          39          24    -407.648
          39          25    -407.648
          39          26    -406.672
          39          27    -404.717
          39          28    -401.773
          39          29    -397.827
          39          30    -392.863
          39          31    -386.856
          39          32    -379.781
          39          33    -371.606
          39          34    -362.291
          39          35    -351.795
          39          36    -340.067
          39          37    -327.052
          39          38    -312.687
          39          39      -296.9
          39          40    -279.613
          39          41    -260.739
          39          42     -240.18
          39          43    -217.829
          39          44    -193.568
          39          45     -167.27
          39          46    -138.794
          39          47    -107.992
          39          48    -74.7044
          39          49    -38.7645
          40           0    -36.9302
          40           1    -71.0527
          40           2    -102.556
          40           3    -131.621
          40           4    -158.418
          40           5    -183.107
          40           6    -205.834
          40           7    -226.733
          40           8    -245.925
          40           9    -263.519
          40          10    -279.613
          40          11    -294.295
          40          12    -307.643
          40          13    -319.726
          40          14    -330.606
          40          15    -340.338
          40          16     -348.97
          40          17    -356.544
          40          18    -363.095
          40          19    -368.656
          40          20    -373.251
          40          21    -376.902
          40          22    -379.625
          40          23    -381.434
          40          24    -382.337
          40          25    -382.337
          40          26    -381.434
          40          27    -379.625
          40          28    -376.902
          40          29    -373.251
          40          30    -368.656
          40          31    -363.095
          40          32    -356.544
          40          33     -348.97
          40          34    -340.338
          40          35    -330.606
          40          36    -319.726
          40          37    -307.643
          40          38    -294.295
          40          39    -279.613
          40          40    -263.519
          40          41    -245.925
          40          42    -226.733
          40          43    -205.834
          40          44    -183.107
          40          45    -158.418
          40          46    -131.621
          40          47    -102.556
          40          48    -71.0527
          40          49    -36.9302
          41           0    -34.9036
          41           1    -67.0204
          41           2    -96.5581
          41           3    -123.715
          41           4    -148.674
          41           5    -171.608
          41           6    -192.668
          41           7    -211.994
          41           8     -229.71
          41           9    -245.925
          41          10    -260.739
          41          11    -274.237
          41          12    -286.498
          41          13    -297.587
          41          14    -307.566
          41          15    -316.486
          41          16    -324.394
          41          17    -331.329
          41          18    -337.326
          41          19    -342.414
          41          20    -346.618
          41          21    -349.957
          41          22    -352.448
          41          23    -354.103
          41          24    -354.928
          41          25    -354.928
          41          26    -354.103
          41          27    -352.448
          41          28    -349.957
          41          29    -346.618
          41          30    -342.414
          41          31    -337.326
          41          32    -331.329
          41          33    -324.394
          41          34    -316.486
          41          35    -307.566
          41          36    -297.587
          41          37    -286.498
          41          38    -274.237
          41          39    -260.739
          41          40    -245.925
          41          41     -229.71
          41          42    -211.994
          41          43    -192.668
          41          44    -171.608
          41          45    -148.674
          41          46    -123.715
          41          47    -96.5581
          41          48    -67.0204
          41          49    -34.9036
          42           0    -32.6639
          42           1    -62.5671
          42           2    -89.9415
          42           3    -115.005
          42           4    -137.958
          42           5    -158.981
          42           6    -178.236
          42           7    -195.865
          42           8    -211.994
          42           9    -226.733
          42          10     -240.18
          42          11    -252.418
          42          12    -263.523
          42          13    -273.559
          42          14    -282.583
          42          15    -290.646
          42          16    -297.789
          42          17    -304.052
          42          18    -309.465
          42          19    -314.057
          42          20    -317.849
          42          21    -320.862
          42          22    -323.108
          42          23      -324.6
          42          24    -325.344
          42          25    -325.344
          42          26      -324.6
          42          27    -323.108
          42          28    -320.862
          42          29    -317.849
          42          30    -314.057
          42          31    -309.465
          42          32    -304.052
          42          33    -297.789
          42          34    -290.646
          42          35    -282.583
          42          36    -273.559
          42          37    -263.523
          42          38    -252.418
          42          39     -240.18
          42          40    -226.733
          42          41    -211.994
          42          42    -195.865
          42          43    -178.236
          42          44    -158.981
          42          45    -137.958
          42          46    -115.005
          42          47    -89.9415
          42          48    -62.5671
          42          49    -32.6639
          43           0    -30.1848
          43           1    -57.6428
          43           2    -82.6358
          43           3    -105.406
          43           4    -126.171
          43           5    -145.123
          43           6    -162.429
          43           7    -178.236
          43           8    -192.668
          43           9    -205.834
          43          10    -217.829
          43          11    -228.733
          43          12    -238.617
          43          13    -247.543
          43          14    -255.563
          43          15    -262.724
          43          16    -269.066
          43          17    -274.624
          43          18    -279.426
          43          19    -283.498
          43          20    -286.861
          43          21    -289.532
          43          22    -291.523
          43          23    -292.846
          43          24    -293.505
          43          25    -293.505
          43          26    -292.846
          43          27    -291.523
          43          28    -289.532
          43          29    -286.861
          43          30    -283.498
          43          31    -279.426
          43          32    -274.624
          43          33    -269.066
          43          34    -262.724
          43          35    -255.563
          43          36    -247.543
          43          37    -238.617
          43          38    -228.733
          43          39    -217.829
          43          40    -205.834
          43          41    -192.668
          43          42    -178.236
          43          43    -162.429
          43          44    -145.123
          43          45    -126.171
          43          46    -105.406
          43          47    -82.6358
          43          48    -57.6428
          43          49    -30.1848
          44           0    -27.4325
          44           1    -52.1834
          44           2    -74.5531
          44           3    -94.8121
          44           4    -113.197
          44           5     -129.91
          44           6    -145.123
          44           7    -158.981
          44           8    -171.608
          44           9    -183.107
          44          10    -193.568
          44          11    -203.067
          44          12     -211.67
          44          13    -219.432
          44          14    -226.402
          44          15    -232.622
          44          16    -238.128
          44          17    -242.951
          44          18    -247.117
          44          19    -250.649
          44          20    -253.566
          44          21    -255.881
          44          22    -257.607
          44          23    -258.754
          44          24    -259.325
          44          25    -259.325
          44          26    -258.754
          44          27    -257.607
          44          28    -255.881
          44          29    -253.566
          44          30    -250.649
          44          31    -247.117
          44          32    -242.951
          44          33    -238.128
          44          34    -232.622
          44          35    -226.402
          44          36    -219.432
          44          37     -211.67
          44          38    -203.067
          44          39    -193.568
          44          40    -183.107
          44          41    -171.608
          44          42    -158.981
          44          43    -145.123
          44          44     -129.91
          44          45    -113.197
          44          46    -94.8121
          44          47    -74.5531
          44          48    -52.1834
          44          49    -27.4325
          45           0    -24.3619
          45           1    -46.1053
          45           2    -65.5809
          45           3    -83.0926
          45           4    -98.8947
          45           5    -113.197
          45           6    -126.171
          45           7    -137.958
          45           8    -148.674
          45           9    -158.418
          45          10     -167.27
          45          11    -175.299
          45          12    -182.563
          45          13    -189.113
          45          14    -194.991
          45          15    -200.234
          45          16    -204.873
          45          17    -208.935
          45          18    -212.443
          45          19    -215.416
          45          20    -217.871
          45          21    -219.819
          45          22    -221.272
          45          23    -222.236
          45          24    -222.717
          45          25    -222.717
          45          26    -222.236
          45          27    -221.272
          45          28    -219.819
          45          29    -217.871
          45          30    -215.416
          45          31    -212.443
          45          32    -208.935
          45          33    -204.873
          45          34    -200.234
          45          35    -194.991
          45          36    -189.113
          45          37    -182.563
          45          38    -175.299
          45          39     -167.27
          45          40    -158.418
          45          41    -148.674
          45          42    -137.958
          45          43    -126.171
          45          44    -113.197
          45          45    -98.8947
          45          46    -83.0926
          45          47    -65.5809
          45          48    -46.1053
          45          49    -24.3619
          46           0    -20.9097
          46           1     -39.295
          46           2    -55.5727
          46           3    -70.0827
          46           4    -83.0926
          46           5    -94.8121
          46           6    -105.406
          46           7    -115.005
          46           8    -123.715
          46           9    -131.621
          46          10    -138.794
          46          11    -145.294
          46          12    -151.171
          46          13    -156.466
          46          14    -161.215
          46          15    -165.449
          46          16    -169.194
          46          17    -172.473
          46          18    -175.303
          46          19    -177.702
          46          20    -179.682
          46          21    -181.253
          46          22    -182.424
          46          23    -183.202
          46          24     -183.59
          46          25     -183.59
          46          26    -183.202
          46          27    -182.424
          46          28    -181.253
          46          29    -179.682
          46          30    -177.702
          46          31    -175.303
          46          32    -172.473
          46          33    -169.194
          46          34    -165.449
          46          35    -161.215
          46          36    -156.466
          46          37    -151.171
          46          38    -145.294
          46          39    -138.794
          46          40    -131.621
          46          41    -123.715
          46          42    -115.005
          46          43    -105.406
          46          44    -94.8121
          46          45    -83.0926
          46          46    -70.0827
          46          47    -55.5727
          46          48     -39.295
          46          49    -20.9097
          47           0    -16.9819
          47           1    -31.5921
          47           2    -44.3324
          47           3    -55.5727
          47           4    -65.5809
          47           5    -74.5531
          47           6    -82.6358
          47           7    -89.9415
          47           8    -96.5581
          47           9    -102.556
          47          10    -107.992
          47          11    -112.914
          47          12     -117.36
          47          13    -121.364
          47          14    -124.954
          47          15    -128.154
          47          16    -130.983
          47          17    -133.459
          47          18    -135.596
          47          19    -137.406
          47          20    -138.901
          47          21    -140.087
          47          22    -140.971
          47          23    -141.558
          47          24     -141.85
          47          25     -141.85
          47          26    -141.558
          47          27    -140.971
          47          28    -140.087
          47          29    -138.901
          47          30    -137.406
          47          31    -135.596
          47          32    -133.459
          47          33    -130.983
          47          34    -128.154
          47          35    -124.954
          47          36    -121.364
          47          37     -117.36
          47          38    -112.914
          47          39    -107.992
          47          40    -102.556
          47          41    -96.5581
          47          42    -89.9415
          47          43    -82.6358
          47          44    -74.5531
          47          45    -65.5809
          47          46    -55.5727
          47          47    -44.3324
          47          48    -31.5921
          47          49    -16.9819
          48           0     -12.426
          48           1     -22.759
          48           2    -31.5921
          48           3     -39.295
          48           4    -46.1053
          48           5    -52.1834
          48           6    -57.6428
          48           7    -62.5671
          48           8    -67.0204
          48           9    -71.0527
          48          10    -74.7044
          48          11    -78.0082
          48          12    -80.9916
          48          13     -83.677
          48          14    -86.0839
          48          15    -88.2283
          48          16    -90.1241
          48          17     -91.783
          48          18    -93.2147
          48          19    -94.4275
          48          20    -95.4283
          48          21    -96.2226
          48          22    -96.8146
          48          23    -97.2075
          48          24    -97.4035
          48          25    -97.4035
          48          26    -97.2075
          48          27    -96.8146
          48          28    -96.2226
          48          29    -95.4283
          48          30    -94.4275
          48          31    -93.2147
          48          32     -91.783
          48          33    -90.1241
          48          34    -88.2283
          48          35    -86.0839
          48          36     -83.677
          48          37    -80.9916
          48          38    -78.0082
          48          39    -74.7044
          48          40    -71.0527
          48          41    -67.0204
          48          42    -62.5671
          48          43    -57.6428
          48          44    -52.1834
          48          45    -46.1053
          48          46     -39.295
          48          47    -31.5921
          48          48     -22.759
          48          49     -12.426
          49           0      -6.963
          49           1     -12.426
          49           2    -16.9819
          49           3    -20.9097
          49           4    -24.3619
          49           5    -27.4325
          49           6    -30.1848
          49           7    -32.6639
          49           8    -34.9036
          49           9    -36.9302
          49          10    -38.7645
          49          11    -40.4234
          49          12    -41.9209
          49          13    -43.2685
          49          14     -44.476
          49          15    -45.5517
          49          16    -46.5026
          49          17    -47.3345
          49          18    -48.0524
          49          19    -48.6606
          49          20    -49.1624
          49          21    -49.5606
          49          22    -49.8574
          49          23    -50.0544
          49          24    -50.1526
          49          25    -50.1526
          49          26    -50.0544
          49          27    -49.8574
          49          28    -49.5606
          49          29    -49.1624
          49          30    -48.6606
          49          31    -48.0524
          49          32    -47.3345
          49          33    -46.5026
          49          34    -45.5517
          49          35     -44.476
          49          36    -43.2685
          49          37    -41.9209
          49          38    -40.4234
          49          39    -38.7645
          49          40    -36.9302
          49          41    -34.9036
          49          42    -32.6639
          49          43    -30.1848
          49          44    -27.4325
          49          45    -24.3619
          49          46    -20.9097
          49          47    -16.9819
          49          48     -12.426
          49          49      -6.963
